baseline,cache_outcome,cache_outcome_reason,policy_name,policy_cache_enabled,policy_pruning_enabled,policy_planner_guidance_enabled,policy_role,policy_reference,policy_treatment,policy_digest,route_mode,planner_guidance_mode,planner_candidate_op_count,planner_full_vocabulary,planner_prefix_chars,planner_prefix_sha256,model,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
FF_FULL,miss,ValueError: light model JSON repair failed: Expecting property name enclosed in double quotes,FF_FULL,True,True,True,full_system,,,e246d801456a,router,full,13,False,16689,e5f99604174147e8467e0bd3d435fff4188d1025fb8c3c636946bebdef10dfa4,qwen/qwen3-max,1,1.0,llm_judge_score,5.270694971084595,0.001513136,5613,225,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,AGGREGATE_COLUMN,True,3.1025898456573486,4665,75,0.001416636,3.1026177406311035,0.0009136249991570367,2.1365928329996677,3.749992174562067e-07,0.0,0.0,0.0007970333099365234,0.0,3102.6177406311035,0.9136249991570367,2136.5928329996677,0.0003749992174562067,0.0,0.0,0.7970333099365234,0.0
FF_FULL,miss,ValueError: light model returned empty content,FF_FULL,True,True,True,full_system,,,e246d801456a,router,full,13,False,10405,4dd660ac0e9228df4614c439be1152a4cd54ba8a6037c89f1b98cc3c1c79934e,qwen/qwen3-max,5,1.0,llm_judge_score,8.669179916381836,0.001962078,4814,356,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.043989896774292,3458,206,0.001843218,4.044011116027832,0.0011801250002463348,2.1108220829992206,4.169996827840805e-07,0.0,0.0,0.0025980472564697266,0.0,4044.011116027832,1.1801250002463348,2110.8220829992206,0.0004169996827840805,0.0,0.0,2.5980472564697266,0.0
FF_FULL,miss,ValueError: light model returned empty content,FF_FULL,True,True,True,full_system,,,e246d801456a,router,full,9,False,6141,bb2bc964c3fc2e674c740a115371d0b15edc8d4be9cc6b0179be446736851909,qwen/qwen3-max,9,1.0,guardrail_skip_expected_rejection,5.938677072525024,0.001231614,3087,202,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_miss_or_validation_failure,guardrail_plan",guardrail_reject,,llm,,True,1.7827699184417725,2468,52,0.001156974,1.782787799835205,0.001330582999798935,0.0,0.0,2.030911624999135,0.0,0.0,0.0,1782.787799835205,1.330582999798935,0.0,0.0,2030.9116249991348,0.0,0.0,0.0
FF_FULL,hit,exact_cache_hit,FF_FULL,True,True,True,full_system,,,e246d801456a,router,full,0,False,0,,qwen/qwen3-max,13,1.0,llm_judge_score,0.02999401092529297,0.0,0,0,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,0.0,0.0009707909994176589,0.0006851250000181608,0.0003057909998460673,0.0,0.0,0.019526666999809095,0.0,0.0,0.9707909994176589,0.6851250000181608,0.3057909998460673,0.0,0.0,19.526666999809095,0.0
FF_NO_CACHE,not_applicable,,FF_NO_CACHE,False,True,True,primary_ablation,FF_FULL,cache,35c8cb5cd932,router,full,13,False,16689,e5f99604174147e8467e0bd3d435fff4188d1025fb8c3c636946bebdef10dfa4,qwen/qwen3-max,1,1.0,llm_judge_score,2.1164333820343018,0.001416636,4665,75,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,AGGREGATE_COLUMN,True,2.1152408123016357,4665,75,0.001416636,2.1152658462524414,0.0,0.0,0.0,0.0,0.0,0.000720977783203125,0.0,2115.2658462524414,0.0,0.0,0.0,0.0,0.0,0.720977783203125,0.0
FF_NO_CACHE,not_applicable,,FF_NO_CACHE,False,True,True,primary_ablation,FF_FULL,cache,35c8cb5cd932,router,full,13,False,10405,4dd660ac0e9228df4614c439be1152a4cd54ba8a6037c89f1b98cc3c1c79934e,qwen/qwen3-max,5,1.0,llm_judge_score,4.215120077133179,0.001843218,3458,206,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.209873199462891,3458,206,0.001843218,4.209894180297852,0.0,0.0,0.0,0.0,0.0,0.00460505485534668,0.0,4209.894180297852,0.0,0.0,0.0,0.0,0.0,4.60505485534668,0.0
FF_NO_CACHE,not_applicable,,FF_NO_CACHE,False,True,True,primary_ablation,FF_FULL,cache,35c8cb5cd932,router,full,9,False,6141,bb2bc964c3fc2e674c740a115371d0b15edc8d4be9cc6b0179be446736851909,qwen/qwen3-max,9,1.0,guardrail_skip_expected_rejection,1.864598035812378,0.001156974,2468,52,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,True,1.8643262386322021,2468,52,0.001156974,1.8643460273742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.3460273742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF_NO_CACHE,not_applicable,,FF_NO_CACHE,False,True,True,primary_ablation,FF_FULL,cache,35c8cb5cd932,router,full,14,False,18054,209d17d96518b57b0f55a1e6db9dc6d0d21fe0d5b118b9ff1067fdd3933f648c,qwen/qwen3-max,13,1.0,llm_judge_score,5.423958778381348,0.002243514,4966,272,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,PREDICTIVE_PIPELINE,True,5.397150039672852,4966,272,0.002243514,5.397169828414917,0.0,0.0,0.0,0.0,0.0,0.025990009307861328,0.0,5397.169828414917,0.0,0.0,0.0,0.0,0.0,25.990009307861328,0.0
FF_NO_PROMPT,not_applicable,,FF_NO_PROMPT,False,True,False,primary_ablation,FF_NO_CACHE,planner_guidance,182c4c57a8aa,router,none,13,False,3479,5a53463c203bdad42040d054b371afc1a6cf3b53c995f2090c1070fdddeb4368,qwen/qwen3-max,1,1.0,llm_judge_score,1.9828910827636719,0.001131078,1954,56,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,AGGREGATE_COLUMN,True,1.9816868305206299,1954,56,0.001131078,1.9817099571228027,0.0,0.0,0.0,0.0,0.0,0.0007631778717041016,0.0,1981.7099571228027,0.0,0.0,0.0,0.0,0.0,0.7631778717041016,0.0
FF_NO_PROMPT,not_applicable,,FF_NO_PROMPT,False,True,False,primary_ablation,FF_NO_CACHE,planner_guidance,182c4c57a8aa,router,none,13,False,3359,a9a629ac3f6e728b6e6e45e58d2ecbb7bd0d66331121d7bc789f636a294365ff,qwen/qwen3-max,5,1.0,llm_judge_score,4.689157247543335,0.001708824,1935,202,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.686954975128174,1935,202,0.001708824,4.686969995498657,0.0,0.0,0.0,0.0,0.0,0.0017118453979492188,0.0,4686.969995498657,0.0,0.0,0.0,0.0,0.0,1.7118453979492188,0.0
FF_NO_PROMPT,not_applicable,,FF_NO_PROMPT,False,True,False,primary_ablation,FF_NO_CACHE,planner_guidance,182c4c57a8aa,router,none,9,False,2923,bc3ad89d9500ea8aa78783e714bda1f3d21648f333615a4613e5443db41d84d4,qwen/qwen3-max,9,1.0,guardrail_skip_expected_rejection,2.2578911781311035,0.001082328,1811,46,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,True,2.2576260566711426,1811,46,0.001082328,2.2576489448547363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.6489448547363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF_NO_PROMPT,not_applicable,,FF_NO_PROMPT,False,True,False,primary_ablation,FF_NO_CACHE,planner_guidance,182c4c57a8aa,router,none,14,False,3901,b715fa5f31f1e5bb1e3de05a6d1b006454126199c66550b9ba12853e6e7d18a4,qwen/qwen3-max,13,1.0,llm_judge_score,4.37494683265686,0.00201981,2098,272,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,PREDICTIVE_PIPELINE,True,4.340696811676025,2098,272,0.00201981,4.34071683883667,0.0,0.0,0.0,0.0,0.0,0.03352689743041992,0.0,4340.71683883667,0.0,0.0,0.0,0.0,0.0,33.52689743041992,0.0
FF_NO_PRUNE,not_applicable,,FF_NO_PRUNE,False,False,True,primary_ablation,FF_NO_CACHE,pruning,1ea60dc0d532,full,full,24,True,39312,2be2d0b165f22ee01479bee3042b9568475c1f3b99a8aa028e2d2f5b4c5d0240,qwen/qwen3-max,1,1.0,llm_judge_score,2.3988900184631348,0.001817088,9799,75,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,AGGREGATE_COLUMN,True,2.397413969039917,9799,75,0.001817088,2.3974437713623047,0.0,0.0,0.0,0.0,0.0,0.0008649826049804688,0.0,2397.4437713623047,0.0,0.0,0.0,0.0,0.0,0.8649826049804688,0.0
