query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the maximum recorded x-acceleration for user 15?,False,False,True,1.0,Maximum x-acceleration for user 15 is 19.5700.,Maximum x-acceleration for user 15 is 19.5700.,ok
2,How many total samples in the dataset are classified as the Walking activity?,False,False,True,1.0,Total Walking samples in the dataset: 424397.,Total Walking samples in the dataset: 424397.,ok
3,What is the average y-accel value for user 5 during the Sitting activity?,False,False,True,1.0,Average y-acceleration for user 5 during Sitting is 3.0414.,Average y-acceleration for user 5 during Sitting is 3.0414.,ok
4,Which user has the highest total number of recorded data samples?,False,False,True,1.0,User with the highest sample count is 20 with 56632 samples.,User with the highest sample count is 20 with 56632 samples.,ok
5,Compare the overall acceleration magnitude between dynamic movements and resting states.,False,False,True,1.0,"Average magnitude for dynamic activities (walking,jogging,upstairs,downstairs) is 11.9625; resting activities (sitting,standing) is 9.8328; difference (dynamic-resting) is 2.1297.","Average magnitude for dynamic activities (walking,jogging,upstairs,downstairs) is 11.9625; resting activities (sitting,standing) is 9.8328; difference (dynamic-resting) is 2.1297.",ok
6,Identify the user whose total recorded duration of stationary activities exceeds their duration of active locomotion by the largest margin.,False,False,True,1.0,"Users [20, 6, 16] have total stationary duration (sitting, standing) exceeding locomotion duration (walking, jogging, upstairs, downstairs). User 20 has the largest margin (delta=54004.34s).","Users [20, 6, 16] have total stationary duration (sitting, standing) exceeding locomotion duration (walking, jogging, upstairs, downstairs). User 20 has the largest margin (delta=54004.34s).",ok
7,What is the median net acceleration vector length for user 20 while ascending steps?,False,False,True,1.0,Median net acceleration vector length for user 20 while ascending steps is 9.8931.,Median net acceleration vector length for user 20 while ascending steps is 9.8931.,ok
8,Calculate the difference between the average z-axis acceleration between Upstairs and Downstairs activities for all users.,False,False,True,1.0,Average z for ascending elevation changes is 0.3235; descending is 0.6841; difference (ascending-descending) is -0.3605.,Average z for ascending elevation changes is 0.3235; descending is 0.6841; difference (ascending-descending) is -0.3605.,ok
9,How does the average walking speed in miles per hour correlate with the age of the users?,True,True,True,1.0,Reject: speed in mph and user age are not available in this dataset.,Reject: speed in mph and user age are not available in this dataset.,ok
10,"Based on the acceleration data, predict the exact geographic location where user 10 was jogging.",True,True,True,1.0,Reject: acceleration records do not contain geographic location signals.,Reject: acceleration records do not contain geographic location signals.,ok
11,Are female subjects more likely to have a higher cadence during stair climbing than male subjects?,True,True,True,1.0,Reject: sex and cadence attributes are unavailable in this dataset.,Reject: sex and cadence attributes are unavailable in this dataset.,ok
12,Predict whether user 3 will meet the WHO recommended weekly moderate-to-vigorous physical activity guideline next week.,True,True,True,1.0,Reject: future MVPA-guideline compliance cannot be predicted from this dataset and the WHO guideline threshold is not represented in the schema.,Reject: future MVPA-guideline compliance cannot be predicted from this dataset and the WHO guideline threshold is not represented in the schema.,ok
