run_id,source_file,baseline,query_id,query_id_source,query_text,expected_rejection,gt_reference_answer,candidate_answer,candidate_rejected,candidate_executed,candidate_code,llm_verdict,llm_score,llm_reason,gt_sanity,gt_sanity_note,llm_parse_status,llm_attempts,llm_override_applied,llm_raw
1,[in_memory_benchmark_run],FF_FULL,1,explicit,What is the maximum accel_variance observed in this dataset?,False,Maximum accel_variance is 5.8690.,The result is 5.869,False,True,result = df['accel_variance'].max(),PASS,1.0,The candidate answer matches the ground truth value exactly.,SOUND,Value is clear and consistent with the query.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth value exactly."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Value is clear and consistent with the query.""
}"
1,[in_memory_benchmark_run],FF_FULL,2,explicit,What is the average accel_mean across all recorded samples?,False,Average accel_mean across all samples is 9.2834.,The result is 9.283388022969648,False,True,result = df['accel_mean'].mean(),PASS,1.0,The candidate answer matches the ground truth value exactly.,SOUND,The provided ground truth is a precise numeric value consistent with the query.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth value exactly."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The provided ground truth is a precise numeric value consistent with the query.""
}"
1,[in_memory_benchmark_run],FF_FULL,3,explicit,List all timestamps where accel_stats_z_p99 reaches its maximum value across the dataset.,False,"Maximum accel_stats_z_p99 is 16.7020. Timestamps with this value: ['2025-06-06 16:01:13', '2025-06-06 16:01:16', '2025-06-06 16:01:19', '2025-06-06 16:01:22', '2025-06-06 16:01:25', '2025-06-06 16:01:28', '2025-06-06 16:01:31', '2025-06-06 16:01:34', '2025-06-06 16:01:40', '2025-06-06 16:01:43', '2025-06-06 16:01:46', '2025-06-06 16:01:49', '2025-06-06 16:01:52', '2025-06-06 16:01:55', '2025-06-06 16:01:58', '2025-06-06 16:02:01'].","The result is ['2025-06-06T16:01:13', '2025-06-06T16:01:16', '2025-06-06T16:01:19', '2025-06-06T16:01:22', '2025-06-06T16:01:25', '2025-06-06T16:01:28', '2025-06-06T16:01:31', '2025-06-06T16:01:34', '2025-06-06T16:01:40', '2025-06-06T16:01:43', '2025-06-06T16:01:46', '2025-06-06T16:01:49', '2025-06-06T16:01:52', '2025-06-06T16:01:55', '2025-06-06T16:01:58', '2025-06-06T16:02:01']",False,True,"_v = df['accel_stats_z_p99'].max(); df = df[df['accel_stats_z_p99'] == _v]
result = df['timestamp'].tolist()",PASS,1.0,"The candidate answer lists the same timestamps as the ground truth, with only a formatting difference (using 'T' separator), which is semantically equivalent.",SOUND,Ground truth provides a clear and consistent list of timestamps matching the maximum value.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer lists the same timestamps as the ground truth, with only a formatting difference (using 'T' separator), which is semantically equivalent."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides a clear and consistent list of timestamps matching the maximum value.""
}"
1,[in_memory_benchmark_run],FF_FULL,4,explicit,How many data samples show an accel_variance strictly greater than 0.20?,False,Samples with accel_variance > 0.20: 352.,The result is 352,False,True,"df = df[df['accel_variance'] > 0.2]
result = len(df)",PASS,1.0,The candidate answer matches the ground truth in both value and meaning.,SOUND,Clear and consistent with the query.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth in both value and meaning."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Clear and consistent with the query.""
}"
1,[in_memory_benchmark_run],FF_FULL,5,explicit,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,"Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.","The result is {'higher': 'northern_half', 'lower': 'southern_half', 'metric': 'mean accel_variance', 'northern_half': 0.3703333333333333, 'southern_half': 0.16309016393442624, 'difference': 0.20724316939890705}",False,True,"northern_half = df[df['latitude'] gt df['latitude'].median()]
southern_half = df[df['latitude'] lte df['latitude'].median()]
result = {label: agg(partition) for label in partitions}
result = compare(northern_half, southern_half, mode='difference')",PASS,1.0,"The candidate answer provides equivalent factual content to the ground truth, stating the northern half has higher mean acceleration variance (0.37 vs 0.163) and is rougher by 0.207.",SOUND,"Ground truth is clear, consistent, and numerically precise.",json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer provides equivalent factual content to the ground truth, stating the northern half has higher mean acceleration variance (0.37 vs 0.163) and is rougher by 0.207."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth is clear, consistent, and numerically precise.""
}"
1,[in_memory_benchmark_run],FF_FULL,6,explicit,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776765, -84.389963), timestamp 2025-06-06 16:01:13.","The result is {'latitude': 33.776749, 'longitude': -84.390053, 'percentile_difference': 11.186000000000002}",False,True,"# PARALLEL_AGGREGATE branches:
branch_0 = df.groupby(['latitude', 'longitude'])['accel_stats_z_p99'].max()
branch_1 = df.groupby(['latitude', 'longitude'])['accel_stats_z_p1'].min()
merged = branch_0.merge(branch_1, on=['latitude', 'longitude'], how='outer')
df['percentile_difference'] = df['max_p99'] - df['min_p1']
idx = df['percentile_difference'].idxmax(); result = df.loc[idx, ['latitude', 'longitude', 'percentile_difference']].to_dict()",PASS,1.0,The candidate answer provides the same location and percentile difference as the ground truth.,SOUND,Ground truth includes extra timestamp info but core answer matches.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer provides the same location and percentile difference as the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth includes extra timestamp info but core answer matches.""
}"
1,[in_memory_benchmark_run],FF_FULL,7,explicit,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,The result is 11.458505525284506,False,True,"df['peak_accel_magnitude'] = (df['accel_stats_x_p99']**2 + df['accel_stats_y_p99']**2 + df['accel_stats_z_p99']**2)**0.5
result = df['peak_accel_magnitude'].mean()",PASS,1.0,The candidate answer matches the ground truth value exactly.,SOUND,The ground truth correctly describes the calculation and provides a precise numeric result.,json,4,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth value exactly."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth correctly describes the calculation and provides a precise numeric result.""
}"
1,[in_memory_benchmark_run],FF_FULL,8,explicit,"If we group the data into 1-minute intervals, which time window has the highest mean instability_score?",False,The 1-minute window starting at 2025-06-06 16:01:00 had the highest mean instability_score of 5.8690.,The time window starting at 2025-06-06T16:01:00 has mean instability score 5.8690.,False,True,"df['time_window'] = pd.to_datetime(df['timestamp'], errors='coerce').dt.floor('1min')
result = df.groupby('time_window')['instability_score'].mean()
result = result.idxmax()",PASS,1.0,The candidate answer identifies the same time window and mean instability score as the ground truth.,SOUND,"The ground truth is clear, specific, and consistent with the query.",json,4,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies the same time window and mean instability score as the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth is clear, specific, and consistent with the query.""
}"
1,[in_memory_benchmark_run],FF_FULL,13,explicit,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a logistic regression model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,Logistic regression predicts behavior 'moderate' for the first holdout row.,The result is Logistic regression predicts label 'moderate' for the first holdout row.,False,True,"# sort_by=['timestamp'] split=975/1219 model='logistic_regression' features=['accel_mean', 'accel_variance', 'accel_stats_x_p1', 'accel_stats_x_p10', 'accel_stats_x_p90', 'accel_stats_x_p99', 'accel_stats_y_p1', 'accel_stats_y_p10', 'accel_stats_y_p90', 'accel_stats_y_p99', 'accel_stats_z_p1', 'accel_stats_z_p10', 'accel_stats_z_p90', 'accel_stats_z_p99', 'extreme_event_magnitude', 'instability_score']
result = ""Logistic regression predicts label 'moderate' for the first holdout row.""",PASS,1.0,"The candidate answer is semantically equivalent to the ground truth, using 'label' instead of 'behavior' but referring to the same prediction.",SOUND,Clear and consistent with the query's requirements.,json,4,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer is semantically equivalent to the ground truth, using 'label' instead of 'behavior' but referring to the same prediction."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Clear and consistent with the query's requirements.""
}"
1,[in_memory_benchmark_run],FF_FULL,14,explicit,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a random forest model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,Random forest predicts behavior 'moderate' for the first holdout row.,The result is Random forest predicts label 'moderate' for the first holdout row.,False,True,"# sort_by=['timestamp'] split=975/1219 model='random_forest' features=['accel_mean', 'accel_variance', 'accel_stats_x_p1', 'accel_stats_x_p10', 'accel_stats_x_p90', 'accel_stats_x_p99', 'accel_stats_y_p1', 'accel_stats_y_p10', 'accel_stats_y_p90', 'accel_stats_y_p99', 'accel_stats_z_p1', 'accel_stats_z_p10', 'accel_stats_z_p90', 'accel_stats_z_p99', 'extreme_event_magnitude', 'instability_score']
result = ""Random forest predicts label 'moderate' for the first holdout row.""",PASS,1.0,The candidate answer is semantically and factually equivalent to the ground truth.,SOUND,Clear and consistent with the query's requirements.,json,2,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer is semantically and factually equivalent to the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Clear and consistent with the query's requirements.""
}"
