query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the maximum accel_variance observed in this dataset?,False,False,True,1.0,Maximum accel_variance is 5.8690.,Maximum accel_variance is 5.8690.,ok
2,What is the average accel_mean across all recorded samples?,False,False,True,1.0,Average accel_mean across all samples is 9.2834.,Average accel_mean across all samples is 9.2834.,ok
3,List all timestamps where accel_stats_z_p99 reaches its maximum value across the dataset.,False,False,True,1.0,"Maximum accel_stats_z_p99 is 16.7020. Timestamps with this value: ['2025-06-06 16:01:13', '2025-06-06 16:01:16', '2025-06-06 16:01:19', '2025-06-06 16:01:22', '2025-06-06 16:01:25', '2025-06-06 16:01:28', '2025-06-06 16:01:31', '2025-06-06 16:01:34', '2025-06-06 16:01:40', '2025-06-06 16:01:43', '2025-06-06 16:01:46', '2025-06-06 16:01:49', '2025-06-06 16:01:52', '2025-06-06 16:01:55', '2025-06-06 16:01:58', '2025-06-06 16:02:01'].","Maximum accel_stats_z_p99 is 16.7020. Timestamps with this value: ['2025-06-06 16:01:13', '2025-06-06 16:01:16', '2025-06-06 16:01:19', '2025-06-06 16:01:22', '2025-06-06 16:01:25', '2025-06-06 16:01:28', '2025-06-06 16:01:31', '2025-06-06 16:01:34', '2025-06-06 16:01:40', '2025-06-06 16:01:43', '2025-06-06 16:01:46', '2025-06-06 16:01:49', '2025-06-06 16:01:52', '2025-06-06 16:01:55', '2025-06-06 16:01:58', '2025-06-06 16:02:01'].",ok
4,How many data samples show an accel_variance strictly greater than 0.20?,False,False,True,1.0,Samples with accel_variance > 0.20: 352.,Samples with accel_variance > 0.20: 352.,ok
5,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,False,True,1.0,"Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.","Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.",ok
6,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,False,True,1.0,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776765, -84.389963), timestamp 2025-06-06 16:01:13.","Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776765, -84.389963), timestamp 2025-06-06 16:01:13.",ok
7,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,False,True,1.0,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,ok
8,"If we group the data into 1-minute intervals, which time window has the highest mean instability_score?",False,False,True,1.0,The 1-minute window starting at 2025-06-06 16:01:00 had the highest mean instability_score of 5.8690.,The 1-minute window starting at 2025-06-06 16:01:00 had the highest mean instability_score of 5.8690.,ok
9,How does passenger occupancy correlate with road roughness during this trip?,True,True,True,1.0,Reject: passenger occupancy data is unavailable in this bus dataset.,Reject: passenger occupancy data is unavailable in this bus dataset.,ok
10,Did rainy weather cause the roughest segments in this route?,True,True,True,1.0,Reject: weather metadata is unavailable in this bus dataset.,Reject: weather metadata is unavailable in this bus dataset.,ok
11,Was the bus driver complying with their operating schedule?,True,True,True,1.0,Reject: driver identity metadata is unavailable in this bus dataset.,Reject: driver identity metadata is unavailable in this bus dataset.,ok
12,Predict next week's pothole repairs for the road segments in this dataset.,True,True,True,1.0,Reject: future road maintenance labels are unavailable in this bus dataset.,Reject: future road maintenance labels are unavailable in this bus dataset.,ok
13,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a logistic regression model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Logistic regression predicts behavior 'moderate' for the first holdout row.,Logistic regression predicts behavior 'moderate' for the first holdout row.,ok
14,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a random forest model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Random forest predicts behavior 'moderate' for the first holdout row.,Random forest predicts behavior 'moderate' for the first holdout row.,ok
15,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a 1-nearest-neighbor model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,1-nearest-neighbor predicts behavior 'moderate' for the first holdout row.,1-nearest-neighbor predicts behavior 'moderate' for the first holdout row.,ok
16,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a hist gradient boosting model using the acceleration features. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Hist gradient boosting predicts behavior 'moderate' for the first holdout row.,Hist gradient boosting predicts behavior 'moderate' for the first holdout row.,ok
17,"Filter the route to rows labeled aggressive, group them into 5-minute timestamp windows, and return the window with the highest mean instability_score.",False,False,True,1.0,The aggressive-behavior 5-minute window beginning 2025-06-06 16:00:00 has the highest mean instability_score: 0.594000000000.,The aggressive-behavior 5-minute window beginning 2025-06-06 16:00:00 has the highest mean instability_score: 0.594000000000.,ok
18,"For each recorded latitude reading, derive peak acceleration magnitude from accel_stats_x_p99, accel_stats_y_p99, and accel_stats_z_p99. Report the absolute difference between the mean peak magnitude north versus south of the median latitude.",False,False,True,1.0,Northern mean peak magnitude is 11.722590691853; southern mean peak magnitude is 11.194853285219; their absolute difference is 0.527737406634.,Northern mean peak magnitude is 11.722590691853; southern mean peak magnitude is 11.194853285219; their absolute difference is 0.527737406634.,ok
19,"For each 5-minute timestamp window, derive the vertical shock range as accel_stats_z_p99 minus accel_stats_z_p1 and compute its mean separately for aggressive and calm behavior labels. Report the overall aggressive-minus-calm difference across the route.",False,False,True,1.0,Aggressive mean vertical shock range is 4.869682926829; calm mean is 1.433177419355; aggressive-minus-calm is 3.436505507474.,Aggressive mean vertical shock range is 4.869682926829; calm mean is 1.433177419355; aggressive-minus-calm is 3.436505507474.,ok
20,"Derive the vertical shock range as accel_stats_z_p99 minus accel_stats_z_p1. Filter to aggressive behavior, group rows into 5-minute timestamp windows, and return the window with the highest mean vertical shock range.",False,False,True,1.0,The aggressive-behavior 5-minute window beginning 2025-06-06 11:05:00 has the highest mean vertical shock range: 7.355000000000.,The aggressive-behavior 5-minute window beginning 2025-06-06 11:05:00 has the highest mean vertical shock range: 7.355000000000.,ok
