run_id,source_file,baseline,query_id,query_id_source,query_text,expected_rejection,gt_reference_answer,candidate_answer,candidate_rejected,candidate_executed,candidate_code,llm_verdict,llm_score,llm_reason,gt_sanity,gt_sanity_note,llm_parse_status,llm_attempts,llm_override_applied,llm_raw
1,[in_memory_benchmark_run],FLASH_FUSION,17,explicit,"For every subject_id, compute mean acceleration magnitude separately for dynamic activities (Walking, Jogging, Upstairs, Downstairs) and resting activities (Sitting, Standing). Return the subject_id with the largest dynamic-minus-resting mean magnitude.",False,subject_id 24 has the largest dynamic-minus-resting mean magnitude: 4.739240077985.,"The result is {'subject_id': 24, 'dynamic_mean_magnitude': 13.872703393647935, 'resting_mean_magnitude': 9.133463315662746, 'magnitude_difference': 4.739240077985189}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df['acceleration_magnitude'] = (df['x']**2 + df['y']**2 + df['z']**2)**0.5
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Downstairs', 'Jogging', 'Upstairs', 'Walking'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
branch_1 = df[df['activity_label'].isin(['Sitting', 'Standing'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
df['magnitude_difference'] = df['dynamic_mean_magnitude'] - df['resting_mean_magnitude']
idx = df['magnitude_difference'].idxmax(); result = df.loc[idx, ['subject_id', 'dynamic_mean_magnitude', 'resting_mean_magnitude', 'magnitude_difference']].to_dict()",PASS,1.0,"The candidate answer identifies subject_id 24 with a dynamic-minus-resting mean magnitude of 4.739, matching the ground truth.",SOUND,The ground truth is consistent with the computed result.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies subject_id 24 with a dynamic-minus-resting mean magnitude of 4.739, matching the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth is consistent with the computed result.""
}"
1,[in_memory_benchmark_run],FLASH_FUSION,18,explicit,"For every subject_id, compute x-acceleration variance separately while Jogging and while Walking. Return the subject_id for whom Jogging pulls furthest ahead of Walking.",False,subject_id 12 has the most negative Jogging-minus-Walking x-variance difference (Walking exceeds Jogging by the largest margin): -16.746789937351.,,False,False,,FAIL,0.0,The candidate answer is missing and cannot be compared to the ground truth.,SOUND,"The ground truth provides a clear, specific answer with a numeric difference.",json,1,False,"{
  ""verdict"": ""FAIL"",
  ""reason"": ""The candidate answer is missing and cannot be compared to the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth provides a clear, specific answer with a numeric difference.""
}"
1,[in_memory_benchmark_run],FLASH_FUSION,19,explicit,"For every subject_id, compute mean acceleration magnitude while Jogging and while Walking. Report whether subjects who jog harder also walk harder, ranking subjects consistently across both activities.",False,Yes — subjects who jog harder also tend to walk harder: the Spearman rank correlation between per-subject Jogging and Walking mean magnitudes is 0.703812316716.,"The result is {'subject_id': 23, 'mean_jogging_mag': 17.04236300315029, 'mean_walking_mag': 12.89231971710706}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df['acceleration_magnitude'] = (df['x']**2 + df['y']**2 + df['z']**2)**0.5
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Jogging'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
branch_1 = df[df['activity_label'].isin(['Walking'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
idx = df['mean_jogging_mag'].idxmax(); result = df.loc[idx, ['subject_id', 'mean_jogging_mag', 'mean_walking_mag']].to_dict()",FAIL,0.0,Candidate provides data for only one subject instead of computing means for all subjects and evaluating the correlation as required.,SOUND,Ground truth correctly interprets the query by computing per-subject means and assessing rank correlation.,json,1,False,"{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate provides data for only one subject instead of computing means for all subjects and evaluating the correlation as required."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth correctly interprets the query by computing per-subject means and assessing rank correlation.""
}"
1,[in_memory_benchmark_run],FLASH_FUSION,20,explicit,"For every subject_id, derive elapsed seconds from timestamp, then compute total locomotion duration (Walking, Jogging, Upstairs, Downstairs) and total resting duration (Sitting, Standing). Among subjects with more locomotion than resting time, return the subject_id with the largest locomotion-minus-resting duration.",False,subject_id 19 has the largest positive locomotion-minus-resting duration: 131091.171906999982 seconds.,"The result is {'subject_id': 19, 'locomotion_duration': 131357.35168599998, 'resting_duration': 266.179779, 'duration_delta': 131091.17190699998}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df = df.sort_values(['subject_id', 'timestamp']); df['dt_s'] = df.groupby(['subject_id'])['timestamp'].diff().dt.total_seconds().clip(lower=0).fillna(0.0)
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Downstairs', 'Jogging', 'Upstairs', 'Walking'])].groupby(['subject_id'])['dt_s'].sum()
branch_1 = df[df['activity_label'].isin(['Sitting', 'Standing'])].groupby(['subject_id'])['dt_s'].sum()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
merged[['locomotion_duration', 'resting_duration']] = merged[['locomotion_duration', 'resting_duration']].fillna(0)
df['duration_delta'] = df['locomotion_duration'] - df['resting_duration']
df = df[df['duration_delta'] > 0]
idx = df['duration_delta'].idxmax(); result = df.loc[idx, ['subject_id', 'locomotion_duration', 'resting_duration', 'duration_delta']].to_dict()",PASS,1.0,"The candidate answer identifies subject_id 19 with a locomotion-minus-resting duration of 131091.172 seconds, matching the ground truth.",SOUND,The ground truth is consistent with the computed result in the candidate answer.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies subject_id 19 with a locomotion-minus-resting duration of 131091.172 seconds, matching the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth is consistent with the computed result in the candidate answer.""
}"
2,[in_memory_benchmark_run],FLASH_FUSION,17,explicit,"For every subject_id, compute mean acceleration magnitude separately for dynamic activities (Walking, Jogging, Upstairs, Downstairs) and resting activities (Sitting, Standing). Return the subject_id with the largest dynamic-minus-resting mean magnitude.",False,subject_id 24 has the largest dynamic-minus-resting mean magnitude: 4.739240077985.,"The result is {'subject_id': 24, 'dynamic_mean_magnitude': 13.872703393647935, 'resting_mean_magnitude': 9.133463315662746, 'magnitude_difference': 4.739240077985189}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df['acceleration_magnitude'] = (df['x']**2 + df['y']**2 + df['z']**2)**0.5
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Downstairs', 'Jogging', 'Upstairs', 'Walking'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
branch_1 = df[df['activity_label'].isin(['Sitting', 'Standing'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
df['magnitude_difference'] = df['dynamic_mean_magnitude'] - df['resting_mean_magnitude']
idx = df['magnitude_difference'].idxmax(); result = df.loc[idx, ['subject_id', 'dynamic_mean_magnitude', 'resting_mean_magnitude', 'magnitude_difference']].to_dict()",PASS,1.0,"The candidate answer identifies subject_id 24 with a dynamic-minus-resting mean magnitude of 4.739, matching the ground truth.",SOUND,The ground truth is consistent with the computed result.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies subject_id 24 with a dynamic-minus-resting mean magnitude of 4.739, matching the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth is consistent with the computed result.""
}"
2,[in_memory_benchmark_run],FLASH_FUSION,18,explicit,"For every subject_id, compute x-acceleration variance separately while Jogging and while Walking. Return the subject_id for whom Jogging pulls furthest ahead of Walking.",False,subject_id 12 has the most negative Jogging-minus-Walking x-variance difference (Walking exceeds Jogging by the largest margin): -16.746789937351.,,False,False,,FAIL,0.0,"The candidate answer is missing entirely, so it cannot match the ground truth.",SOUND,"Ground truth provides a clear, specific answer consistent with the query.",json,1,False,"{
  ""verdict"": ""FAIL"",
  ""reason"": ""The candidate answer is missing entirely, so it cannot match the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides a clear, specific answer consistent with the query.""
}"
2,[in_memory_benchmark_run],FLASH_FUSION,19,explicit,"For every subject_id, compute mean acceleration magnitude while Jogging and while Walking. Report whether subjects who jog harder also walk harder, ranking subjects consistently across both activities.",False,Yes — subjects who jog harder also tend to walk harder: the Spearman rank correlation between per-subject Jogging and Walking mean magnitudes is 0.703812316716.,"The result is {'subject_id': 23, 'mean_jogging_mag': 17.04236300315029, 'mean_walking_mag': 12.89231971710706}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df['acceleration_magnitude'] = (df['x']**2 + df['y']**2 + df['z']**2)**0.5
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Jogging'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
branch_1 = df[df['activity_label'].isin(['Walking'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
idx = df['mean_jogging_mag'].idxmax(); result = df.loc[idx, ['subject_id', 'mean_jogging_mag', 'mean_walking_mag']].to_dict()",FAIL,0.0,Candidate provides data for only one subject instead of computing means for all subjects and evaluating the correlation as required.,SOUND,Ground truth correctly interprets the query by computing per-subject means and assessing rank correlation.,json,1,False,"{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate provides data for only one subject instead of computing means for all subjects and evaluating the correlation as required."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth correctly interprets the query by computing per-subject means and assessing rank correlation.""
}"
2,[in_memory_benchmark_run],FLASH_FUSION,20,explicit,"For every subject_id, derive elapsed seconds from timestamp, then compute total locomotion duration (Walking, Jogging, Upstairs, Downstairs) and total resting duration (Sitting, Standing). Among subjects with more locomotion than resting time, return the subject_id with the largest locomotion-minus-resting duration.",False,subject_id 19 has the largest positive locomotion-minus-resting duration: 131091.171906999982 seconds.,"The result is {'subject_id': 19, 'locomotion_duration': 131357.35168599998, 'resting_duration': 266.179779, 'duration_delta': 131091.17190699998}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df = df.sort_values(['subject_id', 'timestamp']); df['dt_s'] = df.groupby(['subject_id'])['timestamp'].diff().dt.total_seconds().clip(lower=0).fillna(0.0)
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Downstairs', 'Jogging', 'Upstairs', 'Walking'])].groupby(['subject_id'])['dt_s'].sum()
branch_1 = df[df['activity_label'].isin(['Sitting', 'Standing'])].groupby(['subject_id'])['dt_s'].sum()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
merged[['locomotion_duration', 'resting_duration']] = merged[['locomotion_duration', 'resting_duration']].fillna(0)
df['duration_delta'] = df['locomotion_duration'] - df['resting_duration']
df = df[df['duration_delta'] > 0]
idx = df['duration_delta'].idxmax(); result = df.loc[idx, ['subject_id', 'locomotion_duration', 'resting_duration', 'duration_delta']].to_dict()",PASS,1.0,"The candidate answer identifies subject_id 19 with a locomotion-minus-resting duration of 131091.172 seconds, matching the ground truth.",SOUND,The ground truth is consistent with the computed result.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies subject_id 19 with a locomotion-minus-resting duration of 131091.172 seconds, matching the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth is consistent with the computed result.""
}"
3,[in_memory_benchmark_run],FLASH_FUSION,17,explicit,"For every subject_id, compute mean acceleration magnitude separately for dynamic activities (Walking, Jogging, Upstairs, Downstairs) and resting activities (Sitting, Standing). Return the subject_id with the largest dynamic-minus-resting mean magnitude.",False,subject_id 24 has the largest dynamic-minus-resting mean magnitude: 4.739240077985.,"The result is {'subject_id': 24, 'dynamic_mean_magnitude': 13.872703393647935, 'resting_mean_magnitude': 9.133463315662746, 'magnitude_difference': 4.739240077985189}",False,True,"df = df[df['activity_label'].notna() & df['activity_label'].astype(str).str.strip().ne('')]
df['acceleration_magnitude'] = (df['x']**2 + df['y']**2 + df['z']**2)**0.5
# PARALLEL_AGGREGATE branches:
branch_0 = df[df['activity_label'].isin(['Downstairs', 'Jogging', 'Upstairs', 'Walking'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
branch_1 = df[df['activity_label'].isin(['Sitting', 'Standing'])].groupby(['subject_id'])['acceleration_magnitude'].mean()
merged = branch_0.merge(branch_1, on=['subject_id'], how='outer')
df['magnitude_difference'] = df['dynamic_mean_magnitude'] - df['resting_mean_magnitude']
idx = df['magnitude_difference'].idxmax(); result = df.loc[idx, ['subject_id', 'dynamic_mean_magnitude', 'resting_mean_magnitude', 'magnitude_difference']].to_dict()",PASS,1.0,"The candidate answer identifies subject_id 24 with a dynamic-minus-resting magnitude difference of 4.739, matching the ground truth.",SOUND,Ground truth is consistent with the candidate's detailed breakdown.,json,1,False,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies subject_id 24 with a dynamic-minus-resting magnitude difference of 4.739, matching the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth is consistent with the candidate's detailed breakdown.""
}"
3,[in_memory_benchmark_run],FLASH_FUSION,18,explicit,"For every subject_id, compute x-acceleration variance separately while Jogging and while Walking. Return the subject_id for whom Jogging pulls furthest ahead of Walking.",False,subject_id 12 has the most negative Jogging-minus-Walking x-variance difference (Walking exceeds Jogging by the largest margin): -16.746789937351.,,False,False,,FAIL,0.0,The candidate answer is missing and cannot be evaluated against the ground truth.,SOUND,"The ground truth provides a clear, specific answer with a numeric difference.",json,1,False,"{
  ""verdict"": ""FAIL"",
  ""reason"": ""The candidate answer is missing and cannot be evaluated against the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth provides a clear, specific answer with a numeric difference.""
}"
